Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer
What is surplus killing?,the killing of several prey animals too numerous to eat at one sitting,hard,easy
"Which album was the song ""The Bonny Swans"" from?",The Mask and Mirror,hard,easy
Was it a two-sentence description that completely caught the essence of Ulysses S. Grant ?,yes,,easy
"Regarding this topic, what did the Revolution do?",The Revolution caused Coulomb to resign his appointment as intendent des eaux et fontains and retire.,,hard
Do carrion beetles eat dung?,no,hard,hard
Is Portuguese an official language of Andorra?,"No, Portuguese is not an official language of Andorra.",easy,easy
What is temperature would water have to be to be halfway between its standard boiling and freezing point?,50,hard,hard
What information did he record in his diary?,Descriptions of events and ompressions of men,hard,hard
Are there at least two films describing Tesla 's life ?,Yes.,,easy
Are kangaroos and wallabies adept swimmers?,yes,,easy
Who was Blaise Pascal's father?,"His father, Ãtienne Pascal (1588â1651), who also had an interest in science and mathematics, was a local judge",easy,medium
What is a violin called informally?,A fiddle.,medium,hard
During what period was Akhenaten a Pharaoh?,The New Kingdom,hard,hard
How old was Charles-Augustin de Coulomb when he died?,1806,,hard
Is a drake a male?,Yes,easy,medium
Was Vietnamese influenced by Chinese?,Yes.,medium,medium
Who was Kwame Nkrumah?,founder and first president of the modern Ghanaian state,medium,medium
When was the Turkish Language Association founded?,The Turkish Language Association was founded in 1932.,medium,medium
What is The Remarkable Millard Fillmore?,A fake biography based on real events that happened in Fillmore's life.,medium,medium
About how many Koreans speakers are there?,78 million,medium,medium
Was the Bucharest Metro only opened in 1979 ?,Yes,,easy
What is the color of the Australian Black Swan?,Completely black except for the white flight feathers on its wings.,hard,hard
Was King Victor Emmanuel III there to pay homage to Avogadro ?,yes,,easy
Who died in childbirth in 1772?,Margaret Miller,,medium
An otter 's den is what?,A holt,,medium
Had Ford's wife married before?,Yes,hard,hard
Where is the mouth of an octopus?,The octopus' mouth is at the center point of the arms.,medium,easy
Has the flute been dated to prehistoric times?,yes,easy,easy
When did Canada have one of the largest armed forces in the world?,World War II.,hard,hard
"Is a kangaroo a marsupial from the family macropodidae -LRB- macropods , meaning (`` ` large foot ('' ' -RRB-?",yes,,easy
When did the first verifiable written documents appear?, The first verifiable written documents appeared in the twelfth century. ,medium,medium
Who showed that Avogadro's theory held in dilute solutions?,Jacobus Henricus van 't Hoff showed that Avogadro's theory holds in dilute solutions.,medium,medium
Does Egypt receive the least rainfall in the world?,Yes,easy,easy
What did Alessandro Volta invent in 1800?,voltaic pile,medium,medium
Is it true that institution formed the foundation of electric motor technology?,no,,hard
Does Lima have volleyball venues?,Yes.,easy,hard
Did Tesla study electrical engineering?,yes,easy,easy
How long does it take for the panda cubs skin to turn gray?,one to two weeks after birth,medium,medium
What is the most common romanization standard for Standard Mandarin today?,Hanyu Pinyin,medium,medium
Who wrote the first novel in Finnish?,Aleksis Kivi,hard,medium
Are The modern Chinese dialects more like a family?,yes,,easy
What is the largest primarily French-speaking city in the western world?,The largest primarily French-speaking city in the western world is Paris.,hard,hard
Different species of kangaroos eat what?,different diets,,medium
When was the Principia published?,1687,medium,medium
What is the most extensively celebrated holiday?,Christmas,medium,medium
What is the life expectancy for men in Finland?,75 years,medium,medium
Was Nassau placed in operation by Robert Fulton?,yes,easy,easy
How does the government of the People's Republic of China often refer to all divisions of the Sinitic language(s) besides Standard Mandarin?,"The PRC commonly refers to all divisons of the Sinitic language(s) beside Standard Mandarin as fangyan, or ""regional tongues.""",medium,hard
When did the tin whistle first appear?,12th century.,medium,medium
Who was on the committee with Adams to draft  a Declaration of Independence?,"Thomas Jefferson, Benjamin Franklin, Robert R. Livingston and Roger Sherman.",medium,medium
Was Coolidge the thirteenth President of the United States?,No,easy,easy
Was the Luther Bible by Martin Luther printed?,Yes,,easy
What is Charles-Augustin de Coulomb best known for?,He is best known for developing Coulomb's law.,medium,medium
Copenhagen is the capital of what country?,Denmark,easy,medium
"Does ""ketchup"" come from the Minnan pronunciation of &#39853;&#27713; (koe-tsiap)?",yes,easy,easy
What was the largest ever chelonian?,Archelon ischyros,medium,easy
Has the name Pascal been given to the SI unit of pressure?,yes,easy,easy
Whate is the usual pitch range of a violin?,from G3 to C8,hard,hard
How many Korean speakers are there?,There are about 78 million Korean speakers.,easy,easy
Why is the watt named after Watt?,The watt is named after him for his contributions to the development of the steam engine.,hard,medium
When did the crime level become higher?,After the October revolution.,hard,easy
Was Lee Kuan Yew a successful leader of Singapore?,Yes.,hard,hard
Did Charles-Augustin de Coulomb live to be 80 years old?,no,,hard
What is the most basic form of the flute?,a flute can be an open tube which is blown like a bottle,hard,medium
Was Calvin Coolidge a governor of MassachuS08_setts?,Yes,easy,medium
"Was Isaac Newton educated at The King's Schol, Grantham?",yes,easy,easy
Do all eels live in fresh water?,No,hard,hard
"Is The GDP  per capita in Lima $ 7,600  /  ref )?",Yes.,,easy
When was Michael Faraday born?,"September 22, 1791",,easy
Is it a winter sports resort?,Yes,,medium
Does Indonesia have the world's hightest level of biodiversity?,no,medium,easy
How can beetle larvae be differentiated from other insect larvae?,"By their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body",hard,medium
Was Tesla an American citizen?,Yes,easy,easy
What is a collective noun for kangaroos?,"mob, troop, or court",medium,medium
How many state parks are in San Francisco?,There is one state park in San Francisco.,medium,hard
Do many such drums have six to ten tension rods?,Yes.,,easy
"Did he not cast his ballot for John M. Palmer , the presidential candidate of the National Democratic Party , or Gold Democrats , a short-lived party that supported a gold standard , low tariffs , and limited government ?",Yes,,easy
Is the trumpet the musical instrument with the highest register in the brass family?,Yes,easy,easy
Do wolf pups tend to have darker fur than adults?,"Yes, They do tend to have darker furs",easy,hard
Was the arrival of Louis Kossuth (exiled leader of a failed Hungarian revolution) another issue that presented itself during Fillmore's presidency?,Yes,easy,easy
When are sperm cells transferred to the female?,During pairing,medium,medium
Did Charles-Augustin de Coulomb find any relationship between electric charges and magnetic poles? ,No,easy,hard
Where was Grover Cleveland married?,In the White House,medium,easy
What is the second biggest factor affecting the sound produced by a drum?,the tension at which the drum head is held against the shell of the drum.,medium,easy
Have cymbals been used historically to suggest bacchanal?,Yes,easy,hard
When was Henri Becquerel born?,"December 15, 1852",,medium
"Is it derived from the Latin spoken by the romanized pre-Roman peoples of the Iberian Peninsula (namely the Gallaeci, the Lusitanians, the Celtici and the Conii) around 2000 years ago?",yes,,easy
What is the poulation of Egypt?,more than 78 million,medium,easy
Institution formed the foundation of what?,modern electromagnetic technology,,medium
What is an effective way to accentuate a note?,Playing a bass drum playing an identical part is an effective way to accentuate a note.,hard,hard
What are some economic uses for duck?,"being farmed for their meat, eggs, feathers, (particularly their down)",medium,medium
Is the Giant Panda a mammal?,Yes,easy,easy
Who makes up Ghana's Parliament?,the New Patriotic Party and National Democratic Congress,hard,hard
Are tortoises land based?,yes,hard,easy
Where was Theodore Roosevelt born?,"a four-story brownstone at 28 East 20th Street, in the modern-day Gramercy section of New York City",medium,easy
"What does ""singa"" mean?",lion,medium,medium
Do mikrolets travel on the main roads?,No,hard,easy
Is the current estimated population of Nairobi about 6 milion?,No,easy,easy
Who were the midnight judges?,They were judges formally appointed days before Adams term expired,hard,hard
Where is the most densely populated part of Canada?,The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.,medium,medium
What are cymbals made of?,brass,hard,medium
Is the spelling of Turkish phonetic?,"yes, Turkish now has an alphabet suited to the sounds of the language: the spelling is largely phonetic, with one letter corresponding to each phoneme.",easy,easy
What is Northern California's most widely circulated newspaper,San Francisco Chronicle,medium,medium
What is cello an abbreviation of?,violoncello,medium,medium
Is an acoustic guitar dependent on an external device?,No,easy,easy
Where are there craters named Becquerel?,on the moon and on mars,hard,medium
Who died the next morning?,Pascal.,,hard
How many suborders are turtles divided into?,Three.,medium,medium
When did Isaac Newton discover the generalized binomial theorem?,In 1665.,medium,medium
Is otter a kind of mammal?,Yes.,easy,easy
What is the difference between leopards and cheetahs?,"The leopard has roS08_settes rather than cheetah's simple spots, but they lack internal spots, unlike the jaguar. The leopard is larger and less lanky than the cheetah but smaller than the jaguar.",hard,hard
What is used to protect a vehicale from a Kangaroo?,roo bars,hard,hard
What was the Dead or Alive 4 fighting arena modeled after?,a Magnetic Accelerator Cannon station from Halo 2,medium,medium
What is the national language in Malaysia?,Malay ,medium,easy
